lift_id,lift_number,building_name,block_no,road_name,postal_code,pto_expiry_date,pto_status
L249,1 BLK 32,na,51,PULAU TEKONG BESAR,508451,na,Suspended
L250,1 BLK 31,na,51,PULAU TEKONG BESAR,508451,na,Suspended
L252,1 BLK 42,na,51,PULAU TEKONG BESAR,508451,na,Suspended
L6211,SL1,na,601,CHOA CHU KANG WAY,109679,na,Suspended
L6212,SL2,na,601,CHOA CHU KANG WAY,109679,na,Suspended
L151,15,CHANGI AIRPORT TERMINAL 1,80,AIRPORT BOULEVARD,819642,na,Suspended
L14204,B,na,306,CHOA CHU KANG AVENUE 4,680306,na,Suspended
L14814,B,na,307,CHOA CHU KANG AVENUE 4,680307,na,Suspended
L21287,A,na,248,ANG MO KIO AVENUE 2,560248,na,Suspended
L21288,B,na,248,ANG MO KIO AVENUE 2,560248,na,Suspended
L21289,C,na,248,ANG MO KIO AVENUE 2,560248,na,Suspended
L21920,A,na,249,ANG MO KIO AVENUE 2,560249,na,Suspended
L21921,B,na,249,ANG MO KIO AVENUE 2,560249,na,Suspended
L29360,B,na,30,DOVER ROAD,130030,na,Suspended
L29361,C,na,30,DOVER ROAD,130030,na,Suspended
L29362,A,na,31,DOVER ROAD,130031,na,Suspended
L29363,B,na,31,DOVER ROAD,130031,na,Suspended
L29367,B,na,35,DOVER ROAD,130035,na,Suspended
L29368,A,na,37,DOVER ROAD,130037,na,Suspended
L29369,B,na,37,DOVER ROAD,130037,na,Suspended
L29370,A,na,38,DOVER ROAD,130038,na,Suspended
L29371,B,na,38,DOVER ROAD,130038,na,Suspended
L29372,A,na,39,DOVER ROAD,130039,na,Suspended
L29373,B,na,39,DOVER ROAD,130039,na,Suspended
L29062,G16,EastLink,3018,BEDOK NORTH STREET 5,486132,na,Suspended
L29064,G18,EastLink,3018,BEDOK NORTH STREET 5,486132,na,Suspended
L31672,FL2,na,7000,ANG MO KIO AVENUE 5,569877,na,Suspended
L32097,G1,na,6,TUAS AVENUE 6,639311,na,Suspended
L32098,G2,na,6,TUAS AVENUE 6,639311,na,Suspended
L32102,4,na,1,GRANGE ROAD,239693,na,Suspended
L32346,1,na,5,KAKI BUKIT INDUSTRIAL TERRACE,416092,na,Suspended
L32717,PL3,BEDOK METHODIST CHURCH,86,BEDOK ROAD,469371,na,Suspended
L32772,PL01,na,47,SUNSET HEIGHTS,597427,na,Suspended
L32809,PL01,na,49,SUNSET HEIGHTS,597430,na,Suspended
L33092,G3,na,506,CHAI CHEE LANE,469026,na,Suspended
L33163,VPL01,na,82,LORONG MELAYU,416995,na,Suspended
L33369,4,Cargo Agents Building D,9,AIRLINE ROAD,1781,na,Suspended
L33582,CP1,na,78,SHENTON WAY,79120,na,Suspended
L33591,G1,na,32,MARSILING LANE,739151,na,Suspended
L33607,1,na,52,INGGU ROAD,757174,na,Suspended
L33625,PL1,VIMALAKIRTI BUDDHIST CENTRE,20,LORONG 27A GEYLANG,388112,na,Suspended
L33775,263,THE PALMS,263,SIXTH AVENUE,275770,na,Suspended
L33886,PL1,na,203,YIO CHU KANG ROAD,545649,na,Suspended
L33907,G1,na,21,AMBER ROAD,439870,na,Suspended
L34243,PL1,DARMA MUNEESWARAN TEMPLE,57,JALAN HWI YOH,557430,na,Suspended
L34341,01(Old Plant),na,501,ANG MO KIO INDUSTRIAL PARK 1,569621,na,Suspended
L34728,1,na,6,DEFU AVENUE 1,539537,na,Suspended
L34757,4,na,390,ORCHARD ROAD,238871,na,Suspended
L34768,PL3,WEST COAST PLAZA,154,WEST COAST ROAD,127371,na,Suspended
L35044,VPL1,na,45,GUL ROAD,629350,na,Suspended
L35071,PL1,na,25,LAKESHORE VIEW,98155,na,Suspended
L35294,1,Extra Space Eunos Link Pte Ltd,7,KAKI BUKIT ROAD 2,417840,na,Suspended
L35693,C1,FURAMA RIVERFRONT SINGAPORE,405,HAVELOCK ROAD,169633,na,Suspended
L36866,TC-1,GSK TECHNICAL BUILDING,1,PIONEER SECTOR 1,628413,na,Suspended
